# required packages for NextFerretOS.
libappimage1.0abi1t64/stable,now 1.0.4-5-4 amd64 [installed,automatic]
libappstream5/stable,now 1.0.5-1 amd64 [installed,automatic]
libappstreamqt3/stable,now 1.0.5-1 amd64 [installed,automatic]
libapt-pkg7.0/stable,now 3.0.3 amd64 [installed]
libarchive13t64/stable,now 3.7.4-4 amd64 [installed,automatic]
libaribb24-0t64/stable,now 1.0.3-2.1+b2 amd64 [installed,automatic]
libasan8/stable,now 14.2.0-19 amd64 [installed,automatic]
libasound2-data/stable,now 1.2.14-1 all [installed,automatic]
libasound2t64/stable,now 1.2.14-1 amd64 [installed,automatic]
libaspell15/stable,now 0.60.8.1-4 amd64 [installed,automatic]
libass9/stable,now 1:0.17.3-1+b1 amd64 [installed,automatic]
libassuan9/stable,now 3.0.2-2 amd64 [installed,automatic]
libasyncns0/stable,now 0.8-6+b5 amd64 [installed,automatic]
libatasmart4/stable,now 0.19-5+b2 amd64 [installed,automatic]
libatk-bridge2.0-0t64/stable,now 2.56.2-1+deb13u1 amd64 [installed,automatic]
libatk1.0-0t64/stable,now 2.56.2-1+deb13u1 amd64 [installed,automatic]
libatomic1/stable,now 14.2.0-19 amd64 [installed,automatic]
libatspi2.0-0t64/stable,now 2.56.2-1+deb13u1 amd64 [installed,automatic]
libattr1/stable,now 1:2.5.2-3 amd64 [installed]
libaudit-common/stable,now 1:4.0.2-2 all [installed]
libaudit1/stable,now 1:4.0.2-2+b2 amd64 [installed]
libauthen-sasl-perl/stable,now 2.1700-1 all [installed,automatic]
libavahi-client3/stable,now 0.8-16 amd64 [installed,automatic]
libavahi-common-data/stable,now 0.8-16 amd64 [installed,automatic]
libavahi-common3/stable,now 0.8-16 amd64 [installed,automatic]
libavc1394-0/stable,now 0.5.4-5+b2 amd64 [installed,automatic]
libavcodec61/stable,stable-security,now 7:7.1.3-0+deb13u1 amd64 [installed,automatic]
libavfilter10/stable,stable-security,now 7:7.1.3-0+deb13u1 amd64 [installed,automatic]
libavformat61/stable,stable-security,now 7:7.1.3-0+deb13u1 amd64 [installed,automatic]
libavif16/stable,now 1.2.1-1.2 amd64 [installed,automatic]
libavutil59/stable,stable-security,now 7:7.1.3-0+deb13u1 amd64 [installed,automatic]
libb2-1/stable,now 0.98.1-1.1+b2 amd64 [installed,automatic]
libbabeltrace1/stable,now 1.5.11-4+b2 amd64 [installed,automatic]
libbaloowidgets-bin/stable,now 4:25.04.0-1 amd64 [installed,automatic]
libbatterycontrol6/stable,now 4:6.3.6-2 amd64 [installed,automatic]
libbdplus0/stable,now 0.2.0-4+b1 amd64 [installed,automatic]
libbinutils/stable,now 2.44-3 amd64 [installed,automatic]
libblas3/stable,now 3.12.1-6 amd64 [installed,automatic]
